"Reference","Qty","Value","Description","MPN","Mouser No","DigiKey No","LCSC No"
"C18","1","10u 50V","10u 25V Capacitor Ceramic 0805","KGM21FS61E106KU","581-KGM21FS61E106KU ","478-KGM21FS61E106KUTR-ND",""
"HS1","1","SC1752","Heat Sink Raspberry Pi 5 Aluminum Top Mount","SC1752","358-SC1752","2648-SC1752-ND",""
"U2","1","SC1556","Single Board Computer 2.4GHz 4 Core 2GB/0GB RAM ARM® Cortex®-A76","SC1556","358-SC1556","2648-SC1556-ND",""
"U6,U7","2","SN74AHCT1G125DBVR","Single 4.5-V to 5.5-V buffer with TTL-compatible CMOS inputs and 3-state outputs","SN74AHCT1G125DBVR","595-SNAHCT1G125DBVR","296-4708-2-ND","C7484"
"Q1,Q4","2","AO3401A","-4.0A Id, -30V Vds, P-Channel MOSFET, SOT-23","AO3401A","","785-1001-2-ND","C15127"
"FB1","1","BLM18AG601SN1D","Ferrite Beads 600 OHM 25% Alternate Sizing Guide Below","BLM18AG601SN1D","81-BLM11A601S","490-1014-2-ND","C19330"
"D4","1","16-213/GHC-YR1S1/3T","LED EMERALD GREEN WATER CLEAR 0402 SMD","16-213/GHC-YR1S1/3T","638-16213GHCYR1S13T","1080-16-213/GHC-YR1S1/3TTR-ND","C74338"
"J5,J6,J7,J8","4","SM04B-SRSS-TB","CONN HEADER SMD R/A 4POS 1mm","SM04B-SRSS-TB","306-SM04BSRSSTBLFSN","455-SM04B-SRSS-TBTR-ND","C160404"
"J1,J2","2","TYPE-C-31-M-12","USB Type C Connector Horizontal SMT","TYPE-C-31-M-12","","","C165948"
"R11,R12,R15,R16,R17,R18","6","100k","100k Resistor Ceramic 0402","CR0402-JW-104GLF","652-CR0402JW-104GLF","CR0402-JW-104GLFTR-ND","C203104"
"J3","1","PZ254V-12-14P","CONN HEADER 14POS 2.54mm DUAL ROW TH","PZ254V-12-14P","","","C492424"
"Q2,Q3","2","2N7002","Mosfet Array 2 N-Channel (Dual) 60V 300mA 500mW Surface Mount PG-SOT363-6","2N7002","512-2N7002","2N7002NCT-ND","C916396"
"R20,R21","2","4k7","4.7k Resistor Ceramic 0402","RCA04024K70FKED","594-RCA04024K70FKED","541-RCA04024K70FKEDSRTR-ND","C1858949"
"R6,R19,R22,R23","4","10k","10k Resistor Ceramic 0402","MCS0402MD1002BE500","594-MCS0402MD1002BE5","749-MCS0402MD1002BE500TR-ND","C2073498"
"R5","1","15k 1%","15k 1% Resistor Ceramic 0402","MCS04020C1502FE500","594-MCS04020C1502FE5","749-MCS04020C1502FE500TR-ND","C2074222"
"R13,R14","2","33R","33R Resistor Ceramic 0402","MCS0402MC3309FE000"," 594-MCS0402MC3309FE0","749-MCS0402MC3309FE000TR-ND","C2074234"
"R3,R4,R7,R8","4","22R","22R Resistor Ceramic 0402","CR0402-JW-220GLF","652-CR0402-JW-220GLF","CR0402-JW-220GLFTR-ND","C2076445"
"R9,R10","2","1k","1k Resistor Ceramic 0402","CRCW04021K65FKEE","71-CRCW04021K65FKEE","","C2076615"
"R24,R25","2","12k","12k Resistor Ceramic 0402","CR0402-FX-1202GLF","652-CR0402FX-1202GLF","CR0402-FX-1202GLFTR-ND","C2085429"
"R1,R2","2","5k1","5.1k Resistor Ceramic 0402","TNPW04025K10BEED","71-TNPW04025K10BEED","541-3156-2-ND","C2088796"
"U5","1","AP22653W6-7","USB Power Switch Single 5.5V 0.125A to 2.665A 6-Pin SOT-26 T/R","AP22653W6-7","621-AP22653W6-7","31-AP22653W6-7TR-ND","C2158037"
"C1,C2,C5,C8,C12,C13,C14,C15,C16,C17","10","100n 50V","100n 50V Capacitor Ceramic 0402","04025C104JAT2A","581-04025C104JAT2A","478-KGM05CR71H104JHTR-ND","C2169023"
"C11","1","100n 50V","100n 50V Capacitor Ceramic 0603","CML0603X7R104KT50V","708-CML0603X7R104K50","738-CML0603X7R104KT50VTR-ND","C2594245"
"SW1,SW2,SW3","3","Tactile Switch","Tactile Switches Tact Switch, 12 VDC, 50 mA, 4.2x3.2, 2.5mm H, 180gf, J leadspp SPST","PTS815SJM250SMTRLFS","611-PTS815SJM250SMTR","CKN12215-2-ND","C2689510"
"U1,U3","2","USBLC6-2SC6Y","Automotive very low capacitance ESD protection","USBLC6-2SC6Y","511-USBLC6-2SC6Y","497-11882-2-ND","C2969755"
"BT1","1","BS-07-A1BJ001","Single cell battery holder","BS-07-A1BJ001","","","C2979167"
"J4,J9","2","10164227-1001A1RLF","BergStak 0.40mm, 100 position, Receptacle, 1.5mm stack height","10164227-1001A1RLF","649-01642271001A1RLF","609-10164227-1001A1RLFTR-ND","C6782225"
"C9,C10","2","10u 25V","10u 25V Capacitor Ceramic 0603","CC0603KRX5R8BB106","603-CC0603KRX5R8BB10","13-CC0603KRX5R8BB106TR-ND","C7500379"
"B1,B2,B3,B4,B5","5","PESD5V5C1BLYL","Extremely low clamping bidirectional ESD protection diode@en-us","PESD5V5C1BLYL","771-PESD5V5C1BLYL","1727-PESD5V5C1BLYLTR-ND","C18212174"
"D2,D5,D6","3","SS54FSH","5A, 40V, Schottky Rectifier","SS54FSH","821-SS54FSH","1801-SS54FSHTR-ND","C19855357"
"D3","1","YLED0402R","LED 0402 RED SMD","YLED0402R","","","C21260817"
