Ref,Val,Package,PosX,PosY,Rot,Side
"H2","MountingHole_Pad","MountingHole_2.2mm_M2_Pad_Via",-140.702500,-57.255000,180.000000,bottom
"B1","PESD5V5C1BLYL","PESD5V5C1BLYL",124.770000,-73.780000,-90.000000,top
"B2","PESD5V5C1BLYL","PESD5V5C1BLYL",205.759000,-73.560000,-90.000000,top
"B3","PESD5V5C1BLYL","PESD5V5C1BLYL",193.421716,-109.590000,45.000000,top
"B4","PESD5V5C1BLYL","PESD5V5C1BLYL",133.970000,-106.990000,-45.000000,top
"B5","PESD5V5C1BLYL","PESD5V5C1BLYL",148.510000,-103.800000,90.000000,top
"BT1","BS-07-A1BJ001","BatteryHolder_MYOUNG_BS-07-A1BJ001_CR2032",152.232546,-103.460000,0.000000,top
"C1","100n 50V","CAPC1005X04L",126.510000,-74.360000,-90.000000,top
"C2","100n 50V","CAPC1005X04L",130.590000,-74.370000,-90.000000,top
"C3","TBD","CAPC1005X04L",128.800000,-77.400000,90.000000,top
"C4","TBD","CAPC1005X04L",128.810000,-79.910000,90.000000,top
"C5","100n 50V","CAPC1005X04L",203.250000,-68.520000,0.000000,top
"C6","TBD","CAPC1005X04L",203.220000,-80.530000,0.000000,top
"C7","TBD","CAPC1005X04L",203.200000,-76.770000,180.000000,top
"C8","100n 50V","CAPC1005X04L",134.030000,-59.040000,180.000000,top
"C9","10u 25V","CAPC1608X06L",133.060000,-78.380000,90.000000,top
"C10","10u 25V","CAPC1608X06L",139.658193,-78.368151,90.000000,top
"C11","100n 50V","CAPC1608X06L",141.250000,-78.380000,90.000000,top
"C12","100n 50V","CAPC1005X04L",192.145608,-108.546114,45.000000,top
"C13","100n 50V","CAPC1005X04L",199.623999,-90.150000,180.000000,top
"C14","100n 50V","CAPC1005X04L",134.900000,-105.810000,-45.000000,top
"C15","100n 50V","CAPC1005X04L",199.620000,-58.940000,180.000000,top
"C16","100n 50V","CAPC1005X04L",136.490000,-47.666356,-135.000000,top
"C17","100n 50V","CAPC1005X04L",196.340000,-50.390000,135.000000,top
"C18","10u 50V","CAPC2012X11L",148.160000,-101.120000,90.000000,top
"D2","SS54FSH","SODFL4725X110N",203.250500,-72.510000,90.000000,top
"D3","YLED0402R","LED_0402_RED",141.870000,-60.780000,180.000000,top
"D4","16-213/GHC-YR1S1/3T","LED_0402_GREEN",141.860000,-52.408250,180.000000,top
"D5","SS54FSH","SODFL4725X110N",139.200000,-48.070000,45.000000,top
"D6","SS54FSH","SODFL4725X110N",196.060000,-53.010000,-45.000000,top
"FB1","BLM18AG601SN1D","FB_0603",128.580000,-74.870000,0.000000,top
"H1","MountingHole_Pad","MountingHole_2.2mm_M2_Pad_Via",199.202500,-78.610000,0.000000,top
"H3","MountingHole_Pad","MountingHole_2.2mm_M2_Pad_Via",140.702500,-99.965000,0.000000,top
"H4","MountingHole_Pad","MountingHole_2.2mm_M2_Pad_Via",188.530000,-93.920000,0.000000,top
"J1","TYPE-C-31-M-12","HRO_TYPE-C-31-M-12",118.200000,-78.640000,-90.000000,top
"J2","TYPE-C-31-M-12","HRO_TYPE-C-31-M-12",212.340000,-78.630000,90.000000,top
"J3","PZ254V-12-14P","PZ254V-12-14P",172.580000,-124.900000,0.000000,top
"J5","SM04B-SRSS-TB","CONN_SM04B-SRSS-TB_JST",132.659745,-111.010255,135.000000,top
"J6","SM04B-SRSS-TB","CONN_SM04B-SRSS-TB_JST",132.449745,-46.470000,45.000000,top
"J7","SM04B-SRSS-TB","CONN_SM04B-SRSS-TB_JST",197.780000,-46.170000,-45.000000,top
"J8","SM04B-SRSS-TB","CONN_SM04B-SRSS-TB_JST",197.580255,-111.140255,-135.000000,top
"Q1","AO3401A","SOT-23-3L_AOS",190.820912,-115.785136,0.000000,top
"Q2","2N7002","SOT95P240X111-3N",186.953879,-115.972612,-90.000000,top
"Q3","2N7002","SOT95P240X111-3N",125.047500,-101.950000,-90.000000,top
"Q4","AO3401A","SOT-23-3L_AOS",129.250000,-101.810000,0.000000,top
"R1","5k1","RESC1005X04L",120.220000,-73.160000,0.000000,top
